"seriesID","seriesCode","seriesName","seriesParent","seriesUnits","entityID","entityIso","entityName","dataValue","dataYear","dataNote","dataSource","seriesDescription"
178,"i271","Mobile-cellular subscriptions","","count",4,"ABW","Aruba","15000",2000,"","","Refers to the number of subscriptions to a public mobile-telephone service that provide access to the public switched telephone network (PSTN) using cellular technology. It includes the number of postpaid subscriptions and the number of active prepaid accounts"
178,"i271","Mobile-cellular subscriptions","","count",4,"ABW","Aruba","53000",2001,"","","Refers to the number of subscriptions to a public mobile-telephone service that provide access to the public switched telephone network (PSTN) using cellular technology. It includes the number of postpaid subscriptions and the number of active prepaid accounts"
178,"i271","Mobile-cellular subscriptions","","count",4,"ABW","Aruba","61800",2002,"","","Refers to the number of subscriptions to a public mobile-telephone service that provide access to the public switched telephone network (PSTN) using cellular technology. It includes the number of postpaid subscriptions and the number of active prepaid accounts"
178,"i271","Mobile-cellular subscriptions","","count",4,"ABW","Aruba","69952",2003,"","","Refers to the number of subscriptions to a public mobile-telephone service that provide access to the public switched telephone network (PSTN) using cellular technology. It includes the number of postpaid subscriptions and the number of active prepaid accounts"
178,"i271","Mobile-cellular subscriptions","","count",4,"ABW","Aruba","98389",2004,"","","Refers to the number of subscriptions to a public mobile-telephone service that provide access to the public switched telephone network (PSTN) using cellular technology. It includes the number of postpaid subscriptions and the number of active prepaid accounts"
178,"i271","Mobile-cellular subscriptions","","count",4,"ABW","Aruba","103417",2005,"","","Refers to the number of subscriptions to a public mobile-telephone service that provide access to the public switched telephone network (PSTN) using cellular technology. It includes the number of postpaid subscriptions and the number of active prepaid accounts"
178,"i271","Mobile-cellular subscriptions","","count",4,"ABW","Aruba","109030",2006,"","","Refers to the number of subscriptions to a public mobile-telephone service that provide access to the public switched telephone network (PSTN) using cellular technology. It includes the number of postpaid subscriptions and the number of active prepaid accounts"
178,"i271","Mobile-cellular subscriptions","","count",4,"ABW","Aruba","113586",2007,"","Servicio di Telecomunicacion di Aruba (SETAR).","Refers to the number of subscriptions to a public mobile-telephone service that provide access to the public switched telephone network (PSTN) using cellular technology. It includes the number of postpaid subscriptions and the number of active prepaid accounts"
178,"i271","Mobile-cellular subscriptions","","count",4,"ABW","Aruba","120806",2008,"","Servicio di Telecomunicacion di Aruba (SETAR).","Refers to the number of subscriptions to a public mobile-telephone service that provide access to the public switched telephone network (PSTN) using cellular technology. It includes the number of postpaid subscriptions and the number of active prepaid accounts"
178,"i271","Mobile-cellular subscriptions","","count",4,"ABW","Aruba","128000",2009,"","ITU estimate.","Refers to the number of subscriptions to a public mobile-telephone service that provide access to the public switched telephone network (PSTN) using cellular technology. It includes the number of postpaid subscriptions and the number of active prepaid accounts"
