"Country Name","Country Code","Indicator Name","Indicator Code",Attribute,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,
"Saudi Arabia","456","Revenue (% of GDP)","GGR_G01_GDP_PT","Value",,"33.0442760224623","28.4046637909568","25.4824881970646","27.2903902432664","30.0955923189552","33.0923699948354","25.6555219037514","24.3234686423531","36.3173809835383","33.0332200365813","29.9569211035961","34.3145371553409","40.8118653919883","46.1376649271067","48.091911319307","41.2365724183279","56.481587410869","31.6822632025743","37.4031819820293","44.3967669721053","45.1659059526281","41.1656593781407","36.6722795854056","24.972111417384","21.4780943559607","24.0686329752277","29.5741025397357","30.7558068345058","29.5201599337256","30.7918860520485","31.4833121890242","31.5086042340285","31.5059076595479","31.5619506047728","31.6812078196168","31.6468315915441",
"Senegal","722","Revenue (% of GDP)","GGR_G01_GDP_PT","Value",,,,,"16.8477007873316","16.299104133074","15.0378359153672","14.3958376244989","14.0085203544393","14.7634579389252","14.2709802601965","15.7057868871339","16.5537773152263","18.3293264223168","18.4059898896429","17.6183686866975","19.3741370250386","17.4074880628776","17.4557682334881","17.7610271580871","18.3269915157245","18.7870084314836","17.7548554503249","19.2035914896094","19.283508203794","20.6909874884476","19.4949900674396","18.8896643645886","20.3391803971344","20.1591256008865","19.4418243199804","20.9199988657691","21.2933961269443","21.7332520968844","22.6936083357892","22.9226725376119","23.1335563189357",
"Singapore","576","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","16.5318858320214","17.2296405643027","18.8747078024655","19.628940192528","18.603862232249","20.0800281276208","20.2094216698324","20.4792494550795","21.0876407440351","20.715431446113","19.4097548504288","18.1634895862644","16.3233274131139","16.1251195129343","14.9343507499287","14.4395777281757","16.1349613167991","17.5642148587915","15.758646601696","15.9150196124002","17.6222083285233","17.1611217891532","16.8772286824431","17.1744469055941","17.2989463897194","18.8600873757477","18.8818999744347","17.5686545541177","17.8731133413311","17.8517293057969","18.5461584933404","17.8172827527415","17.4082977417375","17.9728486702668","18.1222880580706","18.2344682642586","18.3643987735002",
"Slovak Republic","936","Revenue (% of GDP)","GGR_G01_GDP_PT","Value",,,,,,"43.4545611335775","42.4438074754356","40.5538777437219","40.7929721938454","40.1413722201692","38.0861619938601","37.2265902302469","37.2592792601664","35.605693099326","36.8518214068538","35.2421422424882","34.3301658872068","34.4709544324651","36.2582396580103","34.9603380032175","37.3011521011998","36.7937555554952","39.6198461224358","40.1973779957755","43.0912338985176","40.0951931883546","38.6188046819859","38.8126592724374","39.3291305193832","40.0547572090114","42.3101620890185","41.8700569678159","41.8492819474826","39.9055014173071","39.9976398251558","39.6355267233308","39.2157475827591",
"Slovenia","961","Revenue (% of GDP)","GGR_G01_GDP_PT","Value",,,,,,"44.0534110460761","43.0636360351245","43.8906186896651","44.046997085902","43.8890362276561","44.2610780368551","44.8869788990475","44.5600527850765","44.686226391875","45.0698129733629","44.3079846458895","43.3606569062112","43.6586703510539","43.5481646568179","44.576076823443","44.2273702389465","45.3599830083496","45.6885862886236","45.3350941430933","45.8632005662441","44.2436410660904","44.0170373831993","44.2478011172112","43.7547523803227","43.5086747090669","43.911639529346","43.20846256453","42.252185883801","42.1069198719881","41.9144619509635","41.8805552056835","41.7723071069813",
"South Africa","199","Revenue (% of GDP)","GGR_G01_GDP_PT","Value",,,,,,,,,,,"21.6047047601801","21.2551641559426","21.03067458509","21.6637414129838","25.0374545166001","25.4814339562391","25.6473722638695","25.5228413810883","23.7886571900773","23.7606567029591","24.3563377169673","24.5807287027887","25.0049687538046","25.3967864215954","25.7900963865533","26.18357397908","25.8441253194297","26.447394029834","26.7893524928925","25.1283381135014","26.7458926738431","27.5432893225396","27.1160316669602","26.6207401872412","26.5657727311188","26.6264896439504","26.6943937973253",
"Spain","184","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","38.077583311821","39.646960782774","39.4323359045437","38.562787202878","37.3847619073767","37.147620217504","37.7071984614683","38.421381740054","38.661138080984","37.9459165764968","37.9582963025308","38.3206235191154","38.0001146751825","38.7224427154056","39.7126457232759","40.5598397327019","41.1413254191619","36.8703815361487","34.9547330413729","36.5077574626483","36.4150661378521","37.9199281543285","38.7963714340598","39.1988435879003","38.7137965274362","38.1365366659484","38.1739906546963","39.2043608233971","39.2384932194877","41.4795516369743","43.0556615880504","42.3412787238216","41.9438198578525","41.1890325510706","39.6831510392695","39.5430433817233","39.5429801721552",
"Sudan","732","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","19.2228431427385","25.9036654553682","15.6435082631236","16.5191188978564","9.3979793900459","6.69460598397204","6.79007768465081","7.22846031800454","7.5962936431464","9.66356683752845","9.09942992700415","9.85535263036682","13.3118711349179","16.6677257346946","17.8739890605879","17.5002352868463","16.7413466720191","20.2033059431631","14.9590180362101","17.4616672242897","15.9060530612194","9.11317965083571","9.56276847915527","8.79196147472402","8.50904288125806","6.05788129269708","6.74300853912563","8.91421978357729","7.84527930316069","4.82273330231755","9.36113512319866","9.75069554728743","10.2058236474915","10.7641710579143","10.9369453532453","10.6778582473423","10.3977024255349",
"Sweden","144","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","61.3489950476846","57.796287400187","56.9201551411798","56.3749927342383","55.0263193363867","56.9338398330841","56.3148272161597","56.4226010901549","55.8275711925048","55.3329504669765","53.0695589901631","51.2546491292889","51.5965483913564","51.681969504564","53.1106057995589","52.1978954840809","51.6582346417981","50.9131943030016","50.484845564439","49.2902777354144","48.3872845472189","48.7803913669095","49.1392275191875","48.1435008127271","48.3927360126934","49.7828441068704","49.6536719037494","49.5953031974361","48.6200047964015","48.620385846829","49.5704973754228","48.7147852965147","48.7132303549483","48.5011434553493","48.1670002772262","48.1337619844781","48.1089883522292",
"Switzerland","146","Revenue (% of GDP)","GGR_G01_GDP_PT","Value","27.5793845580659","28.3068749663928","29.3023440365735","29.8919583477703","30.5663589828028","30.9016143814426","30.5512292173185","31.3141441500404","31.6017091449474","32.4361203927351","31.7134040602986","32.2322010605479","31.7657123812159","31.5337057923826","31.5937960014872","31.2266784667719","30.8390383832603","31.7274400539056","32.0062312906949","31.5532337223864","31.8675890601574","31.6180256620104","31.8091590242744","31.5806261243778","32.6307069408518","32.3170709007896","33.1306300993569","32.5608278524965","32.8064947679243","33.6605647106389","33.1556562399793","32.9898779587794","32.9898779587794","32.6599791791916","32.6599791791917","32.6599791791917","32.6599791791917",
